# OVALO generado por tools/make_oval.py
# kappa_1_per_m, elev_m, kerb, peralte_rad
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
-0.000081,0.00,1,-0.0048
-0.000243,0.00,1,-0.0145
-0.000405,0.00,1,-0.0242
-0.000567,0.00,1,-0.0338
-0.000729,0.00,1,-0.0435
-0.000891,0.00,1,-0.0532
-0.001053,0.00,1,-0.0628
-0.001215,0.00,1,-0.0725
-0.001377,0.00,1,-0.0822
-0.001538,0.00,1,-0.0918
-0.001700,0.00,1,-0.1015
-0.001862,0.00,1,-0.1112
-0.002024,0.00,1,-0.1208
-0.002186,0.00,1,-0.1305
-0.002348,0.00,1,-0.1402
-0.002510,0.00,1,-0.1498
-0.002672,0.00,1,-0.1595
-0.002834,0.00,1,-0.1692
-0.002996,0.00,1,-0.1788
-0.003158,0.00,1,-0.1885
-0.003320,0.00,1,-0.1982
-0.003482,0.00,1,-0.2078
-0.003644,0.00,1,-0.2175
-0.003806,0.00,1,-0.2272
-0.003968,0.00,1,-0.2368
-0.004130,0.00,1,-0.2465
-0.004291,0.00,1,-0.2562
-0.004453,0.00,1,-0.2658
-0.004615,0.00,1,-0.2755
-0.004777,0.00,1,-0.2852
-0.004939,0.00,1,-0.2948
-0.005101,0.00,1,-0.3045
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005138,0.00,1,-0.3067
-0.004976,0.00,1,-0.2970
-0.004814,0.00,1,-0.2873
-0.004652,0.00,1,-0.2777
-0.004490,0.00,1,-0.2680
-0.004328,0.00,1,-0.2583
-0.004166,0.00,1,-0.2487
-0.004004,0.00,1,-0.2390
-0.003842,0.00,1,-0.2293
-0.003680,0.00,1,-0.2197
-0.003518,0.00,1,-0.2100
-0.003356,0.00,1,-0.2003
-0.003194,0.00,1,-0.1907
-0.003032,0.00,1,-0.1810
-0.002871,0.00,1,-0.1713
-0.002709,0.00,1,-0.1617
-0.002547,0.00,1,-0.1520
-0.002385,0.00,1,-0.1423
-0.002223,0.00,1,-0.1327
-0.002061,0.00,1,-0.1230
-0.001899,0.00,1,-0.1133
-0.001737,0.00,1,-0.1037
-0.001575,0.00,1,-0.0940
-0.001413,0.00,1,-0.0843
-0.001251,0.00,1,-0.0747
-0.001089,0.00,1,-0.0650
-0.000927,0.00,1,-0.0553
-0.000765,0.00,1,-0.0457
-0.000603,0.00,1,-0.0360
-0.000441,0.00,1,-0.0263
-0.000279,0.00,1,-0.0167
-0.000118,0.00,1,-0.0070
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
-0.000081,0.00,1,-0.0048
-0.000243,0.00,1,-0.0145
-0.000405,0.00,1,-0.0242
-0.000567,0.00,1,-0.0338
-0.000729,0.00,1,-0.0435
-0.000891,0.00,1,-0.0532
-0.001053,0.00,1,-0.0628
-0.001215,0.00,1,-0.0725
-0.001377,0.00,1,-0.0822
-0.001538,0.00,1,-0.0918
-0.001700,0.00,1,-0.1015
-0.001862,0.00,1,-0.1112
-0.002024,0.00,1,-0.1208
-0.002186,0.00,1,-0.1305
-0.002348,0.00,1,-0.1402
-0.002510,0.00,1,-0.1498
-0.002672,0.00,1,-0.1595
-0.002834,0.00,1,-0.1692
-0.002996,0.00,1,-0.1788
-0.003158,0.00,1,-0.1885
-0.003320,0.00,1,-0.1982
-0.003482,0.00,1,-0.2078
-0.003644,0.00,1,-0.2175
-0.003806,0.00,1,-0.2272
-0.003968,0.00,1,-0.2368
-0.004130,0.00,1,-0.2465
-0.004291,0.00,1,-0.2562
-0.004453,0.00,1,-0.2658
-0.004615,0.00,1,-0.2755
-0.004777,0.00,1,-0.2852
-0.004939,0.00,1,-0.2948
-0.005101,0.00,1,-0.3045
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005263,0.00,1,-0.3142
-0.005138,0.00,1,-0.3067
-0.004976,0.00,1,-0.2970
-0.004814,0.00,1,-0.2873
-0.004652,0.00,1,-0.2777
-0.004490,0.00,1,-0.2680
-0.004328,0.00,1,-0.2583
-0.004166,0.00,1,-0.2487
-0.004004,0.00,1,-0.2390
-0.003842,0.00,1,-0.2293
-0.003680,0.00,1,-0.2197
-0.003518,0.00,1,-0.2100
-0.003356,0.00,1,-0.2003
-0.003194,0.00,1,-0.1907
-0.003032,0.00,1,-0.1810
-0.002871,0.00,1,-0.1713
-0.002709,0.00,1,-0.1617
-0.002547,0.00,1,-0.1520
-0.002385,0.00,1,-0.1423
-0.002223,0.00,1,-0.1327
-0.002061,0.00,1,-0.1230
-0.001899,0.00,1,-0.1133
-0.001737,0.00,1,-0.1037
-0.001575,0.00,1,-0.0940
-0.001413,0.00,1,-0.0843
-0.001251,0.00,1,-0.0747
-0.001089,0.00,1,-0.0650
-0.000927,0.00,1,-0.0553
-0.000765,0.00,1,-0.0457
-0.000603,0.00,1,-0.0360
-0.000441,0.00,1,-0.0263
-0.000279,0.00,1,-0.0167
-0.000118,0.00,1,-0.0070
